A̱o,Energia,Poblacion,GPD,CO2,EP,EC,FU
1990,225,58512000,1.275,347,421,323,7.8
1991,238,58559000,1.276,374,456,347,8.0
1992,234,58851000,1.409,363,464,356,9.0
1993,238,59206000,1.333,346,473,356,10.0
1994,231,59327000,1.402,339,477,363,10.4
1995,240,59541000,1.610,349,494,368,10.1
1996,251,59753000,1.614,364,513,384,10.5
1997,244,59964000,1.461,353,505,382,10.7
1998,252,60186000,1.511,380,511,393,10.3
1999,252,60496000,1.500,373,526,401,10.0
2000,255,60912000,1.368,374,540,410,8.5
2001,261,61357000,1.382,383,550,421,7.8
2002,261,61805000,1.500,373,559,419,7.9
2003,266,62244000,1.848,379,567,437,8.5
2004,270,62704000,2.124,379,574,449,8.9
2005,271,63179000,2.204,377,576,451,8.9
2006,266,63621000,2.325,365,575,446,8.8
2007,263,64016000,2.663,358,569,448,8.0
2008,265,64374000,2.923,356,574,461,7.5
2009,253,64707000,2.694,338,536,448,9.1
2010,261,65027000,2.647,348,569,472,9.3
2011,251,65342000,2.863,320,561,443,9.2
2012,252,65659000,2.681,322,566,454,9.8
2013,253,65998000,2.809,326,572,457,10.3
2014,243,66331000,2.849,292,563,432,10.2
2015,246,66624000,2.434,299,568,440,9.9
2016,243,66892000,2.465,306,553,448,9.7